n,µ(G),min p_n(G),max p_n(G),slika_min,slika_max,graph6_min,graph6_max
18,8,598,18525,slike_min/graf_min_mu8_n18.png,slike_max/graf_max_mu8_n18.png,Q???OHnGG@a?OG?G??C`H?GQ??O,Q?OCa@S@@?E?I??T?@CO__OGCG?
19,8,611,21175,slike_min/graf_min_mu8_n19.png,slike_max/graf_max_mu8_n19.png,R???O@iGG@AGOG?G?_ChH?IA??O@A?,R?O?A@S@`?C?I??TO@CS??OGCGC_G?
20,8,618,23972,slike_min/graf_min_mu8_n20.png,slike_max/graf_max_mu8_n20.png,S???P@IGW@A?OG?G?_ChH?GA??O@A?@O?,SCO?A@?@_?C?I??DO@CS??OWCI?`G?H??
21,8,655,26874,slike_min/graf_min_mu8_n21.png,slike_max/graf_max_mu8_n21.png,T???P@IGW@A?OG?G?_ChH?GA??O@A?@O???G,T?O?A@?`??C?I??C?PCS??OWCI?cG?h??_@?
22,8,693,30052,slike_min/graf_min_mu8_n22.png,slike_max/graf_max_mu8_n22.png,U???P@IGW@A?OG?G?_ChH?GA??O@A?@O???G???G,U?OCA?A`??C?I??C?DCO??OGCI?cG?g??_@GS???
23,8,732,33383,slike_min/graf_min_mu8_n23.png,slike_max/graf_max_mu8_n23.png,V???P@IGW@A?OG?G?_ChH?GA??O@A?@O???G???G???_,V?O?A?A`??C?G??C?D?O??OG?IOcG?GO?_@GT??CC?_?
24,8,772,36823,slike_min/graf_min_mu8_n24.png,slike_max/graf_max_mu8_n24.png,W???P@IGW@A?OG?G?_ChH?GA??O@A?@O???G???G???_??@,W?OOA?A`??C??@?C?D?O??OG?IO_??GO?_@GS??CC?_?C_O
25,8,813,40160,slike_min/graf_min_mu8_n25.png,slike_max/graf_max_mu8_n25.png,X???P@IGW@A?OG?G?_ChH?GA??O@A?@O???G???G???_??@???@,X?OOA?A`??C??@?C?P?O??OGGI?a??GO?_@GO??CC?_?C_O??_?
26,8,855,43820,slike_min/graf_min_mu8_n26.png,slike_max/graf_max_mu8_n26.png,Y???P@IGW@A?OG?G?_ChH?GA??O@A?@O???G???G???_??@???@????_,Y?OOA?A`??C??@?C?P?O??OGGI?a??GO?_@GO??CC?_?C_O??_?_????
27,8,898,47973,slike_min/graf_min_mu8_n27.png,slike_max/graf_max_mu8_n27.png,Z???P@IGW@A?OG?G?_ChH?GA??O@A?@O???G???G???_??@???@????_???G,Z?OOA?A???????GC?P?O??OGGI?a??GO?_?GO??CC?_?C_OG@_??C?OO???G
28,8,942,52292,slike_min/graf_min_mu8_n28.png,slike_max/graf_max_mu8_n28.png,[???P@IGW@A?OG?G?_ChH?GA??O@A?@O???G???G???_??@???@????_???G???@,[?OOB?A???????GC?P?O???GGI?a??GO?_?G?D?CC?_?C_O?@_??C??O??GI????
29,8,987,56861,slike_min/graf_min_mu8_n29.png,slike_max/graf_max_mu8_n29.png,\???P@IGW@A?OG?G?_ChH?GA??O@A?@O???G???G???_??@???@????_???G???@????C,\?OOA?A???????GC?@?O?G?GGI?A??GO?A?G?C?CC?_?C_O?@_C?C??O??GG_?C??OO??
30,8,1033,60366,slike_min/graf_min_mu8_n30.png,slike_max/graf_max_mu8_n30.png,]???P@IGW@A?OG?G?_ChH?GA??O@A?@O???G???G???_??@???@????_???G???@????C????G,]COOA?????????GC?@??GG?GGI?A??GO@A?G?C?CC?_?C_O?@_C?C??O???G`????OO??G????
