n,µ(G),min geodesic,max geodesic,slika_min,slika_max,graph6_min,graph6_max,PTC_min,KAKTUS_min,DVODELEN_min,MAX_DEG_min,C3_min,C4_min,C5_min,C6_min,PTC_max,KAKTUS_max,DVODELEN_max,MAX_DEG_max,C3_max,C4_max,C5_max,C6_max
24,2,300,629,slike_geodesic_min/graf_geodesic_min_mu2_n24.png,slike_geodesic_max/graf_geodesic_max_mu2_n24.png,W??CAB~G?_@?@??C?@??G??_?@??@???_??G??@???C???G,Wa???Q??G?_??CIAa??GHC???@???C?_?A??G_?_?@???G?,true,true,false,8,2,0,0,0,true,true,true,6,0,2,0,0
25,2,325,687,slike_geodesic_min/graf_geodesic_min_mu2_n25.png,slike_geodesic_max/graf_geodesic_max_mu2_n25.png,X??CAB~G?_@?@??C?@??G??_?@??@???_??G??@???C???G???G,X???Ga??G?_??C?Ae?AG?g@??@O??C?_?@?????a??CP?????C?,true,true,false,8,2,0,0,0,true,true,true,4,0,2,0,0
26,2,351,746,slike_geodesic_min/graf_geodesic_min_mu2_n26.png,slike_geodesic_max/graf_geodesic_max_mu2_n26.png,Y??CAB~G?_@?@??C?@??G??_?@??@???_??G??@???C???G???G???C?,Y???Ga??G?_??C?Ae?AG?g@??@O??C?_?@?????a??CP?????C?_????,true,true,false,8,2,0,0,0,true,true,true,5,0,2,0,0
27,2,378,809,slike_geodesic_min/graf_geodesic_min_mu2_n27.png,slike_geodesic_max/graf_geodesic_max_mu2_n27.png,Z??CAB~G?_@?@??C?@??G??_?@??@???_??G??@???C???G???G???C???@?,ZOG??a??G?__?C?Aa?AG?O??A@OC?C?_?_????????CC?????C?_??CCG???,true,true,false,8,2,0,0,0,true,true,true,5,0,2,0,0
28,2,406,873,slike_geodesic_min/graf_geodesic_min_mu2_n28.png,slike_geodesic_max/graf_geodesic_max_mu2_n28.png,[??CAB~G?_@?@??C?@??G??_?@??@???_??G??@???C???G???G???C???@????G,[OG??a??G?__?C?Aa?AG?O??A@OC?C?_?_????????CC?????C?_??CCG??@????,true,true,false,8,2,0,0,0,true,true,true,6,0,2,0,0
29,2,435,941,slike_geodesic_min/graf_geodesic_min_mu2_n29.png,slike_geodesic_max/graf_geodesic_max_mu2_n29.png,\??CAB~G?_@?@??C?@??G??_?@??@???_??G??@???C???G???G???C???@????G????_,\?G??a??G?__?C?Ai????O??A@???c?_???A??@A???C???@?C?????q???@??O???D??,true,true,false,8,2,0,0,0,true,true,true,4,0,2,0,0
30,2,465,1010,slike_geodesic_min/graf_geodesic_min_mu2_n30.png,slike_geodesic_max/graf_geodesic_max_mu2_n30.png,]??CAB~G?_@?@??C?@??G??_?@??@???_??G??@???C???G???G???C???@????G????_???@?,]?G??a??G?__?C?ae????O??A????c?_???A??@A???C???@?C?????Q???@??OA??D?????O?,true,true,false,8,2,0,0,0,true,true,true,4,0,2,0,0
10,3,55,98,slike_geodesic_min/graf_geodesic_min_mu3_n10.png,slike_geodesic_max/graf_geodesic_max_mu3_n10.png,I??CCF~O?,IDA_D@UAO,true,false,false,8,4,0,0,0,false,false,true,4,0,5,0,0
11,3,66,120,slike_geodesic_min/graf_geodesic_min_mu3_n11.png,slike_geodesic_max/graf_geodesic_max_mu3_n11.png,J??CCF~O@??,JDA_D@UAO@?,true,false,false,8,4,0,0,0,false,false,true,5,0,5,0,0
12,3,78,151,slike_geodesic_min/graf_geodesic_min_mu3_n12.png,slike_geodesic_max/graf_geodesic_max_mu3_n12.png,K??CCF~O@?A?,KBw?g?S_?I?D,true,false,false,8,4,0,0,0,true,false,true,4,0,3,0,0
13,3,91,186,slike_geodesic_min/graf_geodesic_min_mu3_n13.png,slike_geodesic_max/graf_geodesic_max_mu3_n13.png,L??CCF~O@?A?A?,LKCa?OGG?G_L?D,true,false,false,8,4,0,0,0,true,false,true,4,0,3,0,0
