n,µ(G),min geodesic,max geodesic,slika_min,slika_max,graph6_min,graph6_max
12,4,78,182,slike_geodesic_min/graf_geodesic_min_mu4_n12.png,slike_geodesic_max/graf_geodesic_max_mu4_n12.png,K?AACJ~G?_@?,KoOG`_A_R?_W
13,4,91,210,slike_geodesic_min/graf_geodesic_min_mu4_n13.png,slike_geodesic_max/graf_geodesic_max_mu4_n13.png,L?AACJ~G?_@??C,LOS_@?_t?F@?_O
14,4,105,289,slike_geodesic_min/graf_geodesic_min_mu4_n14.png,slike_geodesic_max/graf_geodesic_max_mu4_n14.png,M?AACJ~G?_@??C?A?,MOS_@?_tGE@?GA?_?
15,4,120,356,slike_geodesic_min/graf_geodesic_min_mu4_n15.png,slike_geodesic_max/graf_geodesic_max_mu4_n15.png,N?AACJ~G?_@??C?A??_,N?C`E@?@GSC@GCGCGA?
16,4,136,424,slike_geodesic_min/graf_geodesic_min_mu4_n16.png,slike_geodesic_max/graf_geodesic_max_mu4_n16.png,O?AACJ~G?_@??C?A??_?C,O?C`E@?@GSC@GCGCGAC??
17,4,153,504,slike_geodesic_min/graf_geodesic_min_mu4_n17.png,slike_geodesic_max/graf_geodesic_max_mu4_n17.png,P?AACJ~G?_@??C?A??_?C??O,P?C`C@?@GSC@OCGCCAE???A?
18,4,171,553,slike_geodesic_min/graf_geodesic_min_mu4_n18.png,slike_geodesic_max/graf_geodesic_max_mu4_n18.png,Q?AACJ~G?_@??C?A??_?C??O??_,Qc?P?O?@_??DSCGCC@CO??A?_G?
19,4,190,743,slike_geodesic_min/graf_geodesic_min_mu4_n19.png,slike_geodesic_max/graf_geodesic_max_mu4_n19.png,R?AACJ~G?_@??C?A??_?C??O??_??_,R?CPC?O@a???CCGCC@CPG?A?_G???O
20,4,210,856,slike_geodesic_min/graf_geodesic_min_mu4_n20.png,slike_geodesic_max/graf_geodesic_max_mu4_n20.png,S?AACJ~G?_@??C?A??_?C??O??_??_??O,S?CS?_?@A???CCGCC@CRG?A?_G???P?_?
21,4,231,985,slike_geodesic_min/graf_geodesic_min_mu4_n21.png,slike_geodesic_max/graf_geodesic_max_mu4_n21.png,T?AACJ~G?_@??C?A??_?C??O??_??_??O??C,T?CO?_?@????CCGCC@ERG?A?_G???P?_?AG?
22,4,253,1115,slike_geodesic_min/graf_geodesic_min_mu4_n22.png,slike_geodesic_max/graf_geodesic_max_mu4_n22.png,U?AACJ~G?_@??C?A??_?C??O??_??_??O??C???_,U?CO?_?@????CCGCC@ERG?A?_G???P?_?AG???C?
23,4,276,1261,slike_geodesic_min/graf_geodesic_min_mu4_n23.png,slike_geodesic_max/graf_geodesic_max_mu4_n23.png,V?AACJ~G?_@??C?A??_?C??O??_??_??O??C???_??A?,V?CO?_?@????CCGCC@ERG?A?_G???P?_?AG???C?C???
24,4,300,1408,slike_geodesic_min/graf_geodesic_min_mu4_n24.png,slike_geodesic_max/graf_geodesic_max_mu4_n24.png,W?AACJ~G?_@??C?A??_?C??O??_??_??O??C???_??A???C,W?CO?_?@????CCGCC@ERG?A?_G???P?_?AG???C?C????A?
25,4,325,1571,slike_geodesic_min/graf_geodesic_min_mu4_n25.png,slike_geodesic_max/graf_geodesic_max_mu4_n25.png,X?AACJ~G?_@??C?A??_?C??O??_??_??O??C???_??A???C???C,X?CO?_?@????CCGCC@ERG?A?_G???P?_?AG?????C??_?A???C?
26,4,351,1735,slike_geodesic_min/graf_geodesic_min_mu4_n26.png,slike_geodesic_max/graf_geodesic_max_mu4_n26.png,Y?AACJ~G?_@??C?A??_?C??O??_??_??O??C???_??A???C???C???A?,Y?CO?_?@????CCGCC@ERG?A?_G???P?_?AG?????C??_?A???C???C??
27,4,378,1915,slike_geodesic_min/graf_geodesic_min_mu4_n27.png,slike_geodesic_max/graf_geodesic_max_mu4_n27.png,Z?AACJ~G?_@??C?A??_?C??O??_??_??O??C???_??A???C???C???A????_,Z?CO?_?@????CCGCC@?QG???_G??OP?_?A_?????C?C_?A?o?C???C???A??
28,4,406,2096,slike_geodesic_min/graf_geodesic_min_mu4_n28.png,slike_geodesic_max/graf_geodesic_max_mu4_n28.png,[?AACJ~G?_@??C?A??_?C??O??_??_??O??C???_??A???C???C???A????_???C,[?CO?_?@????CCGCC@?QG???_G??OP?_?A_?????C?C_?A?o?C???C???A????_?
29,4,435,2293,slike_geodesic_min/graf_geodesic_min_mu4_n29.png,slike_geodesic_max/graf_geodesic_max_mu4_n29.png,\?AACJ~G?_@??C?A??_?C??O??_??_??O??C???_??A???C???C???A????_???C????O,\_?O?_?@?@??CCGCC@?QG???_G??OP?_?A_??G??C?????CO?C?C?C???A????_???C??
30,4,465,2491,slike_geodesic_min/graf_geodesic_min_mu4_n30.png,slike_geodesic_max/graf_geodesic_max_mu4_n30.png,]?AACJ~G?_@??C?A??_?C??O??_??_??O??C???_??A???C???C???A????_???C????O????_,]_?O?_?@?@??CCGCC@?QG???_G??OP?_?A_??G??C?????CO?C?C?C???A????_???C????O??
10,5,55,126,slike_geodesic_min/graf_geodesic_min_mu5_n10.png,slike_geodesic_max/graf_geodesic_max_mu5_n10.png,I?`@CR~C?,IGcs@aOBW
11,5,66,159,slike_geodesic_min/graf_geodesic_min_mu5_n11.png,slike_geodesic_max/graf_geodesic_max_mu5_n11.png,J?`@CR~C??_,J@a?[EAEII?
12,5,78,200,slike_geodesic_min/graf_geodesic_min_mu5_n12.png,slike_geodesic_max/graf_geodesic_max_mu5_n12.png,K?`@CR~C??_@,KCiaa?[GCDC?
13,5,91,242,slike_geodesic_min/graf_geodesic_min_mu5_n13.png,slike_geodesic_max/graf_geodesic_max_mu5_n13.png,L?`@CR~C??_@?@,LGcGGFOOCg@P?_
14,5,105,298,slike_geodesic_min/graf_geodesic_min_mu5_n14.png,slike_geodesic_max/graf_geodesic_max_mu5_n14.png,M?`@CR~C??_@?@??_,M?c?GUO?K_`OWC?G_
15,5,120,365,slike_geodesic_min/graf_geodesic_min_mu5_n15.png,slike_geodesic_max/graf_geodesic_max_mu5_n15.png,N?`@CR~C??_@?@??_?G,Na?oOOGOC_@?_C?goAG
16,5,136,509,slike_geodesic_min/graf_geodesic_min_mu5_n16.png,slike_geodesic_max/graf_geodesic_max_mu5_n16.png,O?`@CR~C??_@?@??_?G?@,O?Op@_GA@?Q?c?OiO?@_?
17,5,153,624,slike_geodesic_min/graf_geodesic_min_mu5_n17.png,slike_geodesic_max/graf_geodesic_max_mu5_n17.png,P?`@CR~C??_@?@??_?G?@??C,P_?p@_GA@?Q?c??iO?@_?A?O
18,5,171,759,slike_geodesic_min/graf_geodesic_min_mu5_n18.png,slike_geodesic_max/graf_geodesic_max_mu5_n18.png,Q?`@CR~C??_@?@??_?G?@??C??G,Q??p??GQ@?Q?_O?iQ?@_?A?Oo??
19,5,190,899,slike_geodesic_min/graf_geodesic_min_mu5_n19.png,slike_geodesic_max/graf_geodesic_max_mu5_n19.png,R?`@CR~C??_@?@??_?G?@??C??G??G,R?Op_?GO@?Q??C?IQ?@?AA?O_@CA??
20,5,210,1059,slike_geodesic_min/graf_geodesic_min_mu5_n20.png,slike_geodesic_max/graf_geodesic_max_mu5_n20.png,S?`@CR~C??_@?@??_?G?@??C??G??G??C,S?Op_?G?@?Q?OC?IQ?@?AA?O_@CA??A??
21,5,231,1224,slike_geodesic_min/graf_geodesic_min_mu5_n21.png,slike_geodesic_max/graf_geodesic_max_mu5_n21.png,T?`@CR~C??_@?@??_?G?@??C??G??G??C??@,T?Op_?GO@?Q??C?IO?@?AA?O_@?O?CA?AO??
22,5,253,1409,slike_geodesic_min/graf_geodesic_min_mu5_n22.png,slike_geodesic_max/graf_geodesic_max_mu5_n22.png,U?`@CR~C??_@?@??_?G?@??C??G??G??C??@???G,U?Op_?GO@?Q??C?IO????A?O_@?O?CA?aO??G?O?
23,5,276,1599,slike_geodesic_min/graf_geodesic_min_mu5_n23.png,slike_geodesic_max/graf_geodesic_max_mu5_n23.png,V?`@CR~C??_@?@??_?G?@??C??G??G??C??@???G???_,V?Opc?GO@?Q??C?IO??A?A?O_@?O???_AO??G?O?A???
24,5,300,1809,slike_geodesic_min/graf_geodesic_min_mu5_n24.png,slike_geodesic_max/graf_geodesic_max_mu5_n24.png,W?`@CR~C??_@?@??_?G?@??C??G??G??C??@???G???_??@,W?Op_?GO@?Q?O??I?G???A?Q@?O??G?CAO??G?O???AE???
25,5,325,2024,slike_geodesic_min/graf_geodesic_min_mu5_n25.png,slike_geodesic_max/graf_geodesic_max_mu5_n25.png,X?`@CR~C??_@?@??_?G?@??C??G??G??C??@???G???_??@???@,X?O`_?GO@?Q?O?@I?G???A?Q@?O??GO?AO??G?O???AE?????_?
26,5,351,2259,slike_geodesic_min/graf_geodesic_min_mu5_n26.png,slike_geodesic_max/graf_geodesic_max_mu5_n26.png,Y?`@CR~C??_@?@??_?G?@??C??G??G??C??@???G???_??@???@????_,Y?O@_?GP@?Q????I?G???A?Q????CG??AO??G?O?AC?E???O?COK????
27,5,378,2499,slike_geodesic_min/graf_geodesic_min_mu5_n27.png,slike_geodesic_max/graf_geodesic_max_mu5_n27.png,Z?`@CR~C??_@?@??_?G?@??C??G??G??C??@???G???_??@???@????_???G,Z?OH_?G@@?Q????I?G???A?Q??C?C??_AO??G?O?A?GE?????COK?????C??
28,5,406,2759,slike_geodesic_min/graf_geodesic_min_mu5_n28.png,slike_geodesic_max/graf_geodesic_max_mu5_n28.png,[?`@CR~C??_@?@??_?G?@??C??G??G??C??@???G???_??@???@????_???G???@,[?OH_?G@@?Q????I?G???A?Q??C?C??_AO??G?O?A?GE?????COK?????C?????C
29,5,435,3024,slike_geodesic_min/graf_geodesic_min_mu5_n29.png,slike_geodesic_max/graf_geodesic_max_mu5_n29.png,\?`@CR~C??_@?@??_?G?@??C??G??G??C??@???G???_??@???@????_???G???@????C,\?OH_?G@@?Q????I?G???A?Q??C?C???AO??G?O?A?GE?????COK?????C?A???C??G??
30,5,465,3815,slike_geodesic_min/graf_geodesic_min_mu5_n30.png,slike_geodesic_max/graf_geodesic_max_mu5_n30.png,]?`@CR~C??_@?@??_?G?@??C??G??G??C??@???G???_??@???@????_???G???@????C????G,]?OH_?G???q???O??????A?Q?A?A??@_AO??G?OC?C?E?????C????_??O??O??C?OG?G_@???
10,6,55,128,slike_geodesic_min/graf_geodesic_min_mu6_n10.png,slike_geodesic_max/graf_geodesic_max_mu6_n10.png,I?ACKN~O?,I_Kr_WK[?
11,6,66,169,slike_geodesic_min/graf_geodesic_min_mu6_n11.png,slike_geodesic_max/graf_geodesic_max_mu6_n11.png,J?ACKN~O@??,JsSIk?CGOT?
12,6,78,213,slike_geodesic_min/graf_geodesic_min_mu6_n12.png,slike_geodesic_max/graf_geodesic_max_mu6_n12.png,K?ACKN~O@?A?,K??TOGPkQHEG
13,6,91,249,slike_geodesic_min/graf_geodesic_min_mu6_n13.png,slike_geodesic_max/graf_geodesic_max_mu6_n13.png,L?ACKN~O@?A?A?,LG?HAChD?HAao_
14,6,105,321,slike_geodesic_min/graf_geodesic_min_mu6_n14.png,slike_geodesic_max/graf_geodesic_max_mu6_n14.png,M?ACKN~O@?A?A??C?,M_?XQCHC?LO?gO@C?
